ID,ESTACION,FECHA,HORA,LONGITUD,LATITUD,ALTITUD,PM10,PM2_5,NO2,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE,ANIO,MES
121451,CAMPO_DE_MARTE,2019-07-11,150000,-77.0432,-12.0705,117,48.17,38.4,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2019,7
477398,SAN_MARTIN_DE_PORRES,2022-10-22,180000,-77.0845,-12.0089,56,41.49,26.61,15,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2022,10
420641,SAN_MARTIN_DE_PORRES,2016-05-01,210000,-77.0845,-12.0089,56,108.61,16.4,6.1,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2016,5
9752,SAN_BORJA,2016-02-11,120000,-77.0077,-12.1086,128,50.51,8.7,16.1,LIMA,LIMA,SAN_BORJA,150130,20240430,2016,2
179464,SANTA_ANITA,2016-10-23,200000,-76.9714,-12.043,253,34.39,6.3,1.6,LIMA,LIMA,SANTA_ANITA,150137,20240430,2016,10
436622,SAN_MARTIN_DE_PORRES,2018-02-26,180000,-77.0845,-12.0089,56,50.65,10.5,NA,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2018,2
554060,CARABAYLLO,2022-03-23,000000,-77.0336,-11.9022,179,13.06,10.64,25.9,LIMA,LIMA,CARABAYLLO,150106,20240430,2022,3
104507,CAMPO_DE_MARTE,2017-08-04,150000,-77.0432,-12.0705,117,26.85,11.3,11.6,LIMA,LIMA,JESUS_MARIA,150113,20240430,2017,8
171370,SANTA_ANITA,2015-11-21,140000,-76.9714,-12.043,253,119,31.9,NA,LIMA,LIMA,SANTA_ANITA,150137,20240430,2015,11
80244,SAN_BORJA,2024-02-26,160000,-77.0077,-12.1086,128,54.15,17.07,20.7,LIMA,LIMA,SAN_BORJA,150130,20240430,2024,2
184318,SANTA_ANITA,2017-05-14,020000,-76.9714,-12.043,253,75.78,36.5,8.5,LIMA,LIMA,SANTA_ANITA,150137,20240430,2017,5
553723,CARABAYLLO,2022-03-08,230000,-77.0336,-11.9022,179,14.68,8.72,27.6,LIMA,LIMA,CARABAYLLO,150106,20240430,2022,3
391106,SAN_JUAN_DE_LURIGANCHO,2022-04-18,060000,-76.9992,-11.9816,240,34.08,29.38,NA,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2022,4
390630,SAN_JUAN_DE_LURIGANCHO,2022-03-29,100000,-76.9992,-11.9816,240,25.95,17.92,NA,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2022,3
262300,VILLA_MARIA_DEL_TRIUNFO,2016-12-06,080000,-76.92,-12.1664,272,45.47,35.4,15.5,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2016,12
386647,SAN_JUAN_DE_LURIGANCHO,2021-10-14,110000,-76.9992,-11.9816,240,NA,29.33,NA,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2021,10
36166,SAN_BORJA,2019-02-16,020000,-77.0077,-12.1086,128,112.6,14.8,NA,LIMA,LIMA,SAN_BORJA,150130,20240430,2019,2
118696,CAMPO_DE_MARTE,2019-03-18,200000,-77.0432,-12.0705,117,21.2,10.1,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2019,3
362699,SAN_JUAN_DE_LURIGANCHO,2019-01-20,150000,-76.9992,-11.9816,240,83.1,46.8,28.9,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2019,1
374765,SAN_JUAN_DE_LURIGANCHO,2020-06-06,090000,-76.9992,-11.9816,240,NA,31.22,NA,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2020,6
434312,SAN_MARTIN_DE_PORRES,2017-11-22,120000,-77.0845,-12.0089,56,40.24,11.7,NA,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2017,11
373111,SAN_JUAN_DE_LURIGANCHO,2020-03-29,110000,-76.9992,-11.9816,240,NA,11.52,NA,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2020,3
16093,SAN_BORJA,2016-11-01,170000,-77.0077,-12.1086,128,28.44,14.9,2.7,LIMA,LIMA,SAN_BORJA,150130,20240430,2016,11
22338,SAN_BORJA,2017-07-19,220000,-77.0077,-12.1086,128,39.47,14,83.9,LIMA,LIMA,SAN_BORJA,150130,20240430,2017,7
34666,SAN_BORJA,2018-12-15,140000,-77.0077,-12.1086,128,58.99,7,26.6,LIMA,LIMA,SAN_BORJA,150130,20240430,2018,12
150151,CAMPO_DE_MARTE,2022-10-19,110000,-77.0432,-12.0705,117,14.94,14.35,7.4,LIMA,LIMA,JESUS_MARIA,150113,20240430,2022,10
276398,VILLA_MARIA_DEL_TRIUNFO,2018-07-16,180000,-76.92,-12.1664,272,76.98,16.8,NA,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2018,7
72157,SAN_BORJA,2023-03-26,170000,-77.0077,-12.1086,128,29.92,11.23,5.3,LIMA,LIMA,SAN_BORJA,150130,20240430,2023,3
332225,SAN_JUAN_DE_LURIGANCHO,2015-07-30,210000,-76.9992,-11.9816,240,95.9,35.8,37,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2015,7
478076,SAN_MARTIN_DE_PORRES,2022-11-20,000000,-77.0845,-12.0089,56,21.41,14.47,28.3,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2022,11
98627,CAMPO_DE_MARTE,2016-12-02,150000,-77.0432,-12.0705,117,43.94,8.8,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2016,12
226243,SANTA_ANITA,2022-02-23,230000,-76.9714,-12.043,253,41.1,17.54,30.9,LIMA,LIMA,SANTA_ANITA,150137,20240430,2022,2
416041,SAN_MARTIN_DE_PORRES,2015-10-23,050000,-77.0845,-12.0089,56,31.48,12.1,NA,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2015,10
505023,CARABAYLLO,2016-08-17,190000,-77.0336,-11.9022,179,56.23,16.1,7.8,LIMA,LIMA,CARABAYLLO,150106,20240430,2016,8
45551,SAN_BORJA,2020-03-13,030000,-77.0077,-12.1086,128,40.41,15.73,NA,LIMA,LIMA,SAN_BORJA,150130,20240430,2020,3
232263,SANTA_ANITA,2022-11-01,190000,-76.9714,-12.043,253,47.5,30.93,25.2,LIMA,LIMA,SANTA_ANITA,150137,20240430,2022,11
87211,CAMPO_DE_MARTE,2015-08-14,230000,-77.0432,-12.0705,117,45.67,18.8,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2015,8
185558,SANTA_ANITA,2017-07-04,180000,-76.9714,-12.043,253,105.2,44.6,52.9,LIMA,LIMA,SANTA_ANITA,150137,20240430,2017,7
323657,VILLA_MARIA_DEL_TRIUNFO,2023-12-06,210000,-76.92,-12.1664,272,56.23,23.35,19.6,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2023,12
349176,SAN_JUAN_DE_LURIGANCHO,2017-07-06,040000,-76.9992,-11.9816,240,91.6,33.9,46,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2017,7
365087,SAN_JUAN_DE_LURIGANCHO,2019-04-30,030000,-76.9992,-11.9816,240,NA,42.94,18.7,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2019,4
51256,SAN_BORJA,2020-11-05,200000,-77.0077,-12.1086,128,36.56,20.05,NA,LIMA,LIMA,SAN_BORJA,150130,20240430,2020,11
80899,SAN_BORJA,2024-03-24,230000,-77.0077,-12.1086,128,29.6,10.5,17,LIMA,LIMA,SAN_BORJA,150130,20240430,2024,3
275622,VILLA_MARIA_DEL_TRIUNFO,2018-06-14,100000,-76.92,-12.1664,272,61.54,15,NA,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2018,6
260296,VILLA_MARIA_DEL_TRIUNFO,2016-09-13,200000,-76.92,-12.1664,272,135.43,23,17.2,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2016,9
188747,SANTA_ANITA,2017-11-14,150000,-76.9714,-12.043,253,81.2,25.9,12.1,LIMA,LIMA,SANTA_ANITA,150137,20240430,2017,11
86588,CAMPO_DE_MARTE,2015-07-20,000000,-77.0432,-12.0705,117,37.11,9.9,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2015,7
13474,SAN_BORJA,2016-07-15,140000,-77.0077,-12.1086,128,30.41,18.8,22.1,LIMA,LIMA,SAN_BORJA,150130,20240430,2016,7
417223,SAN_MARTIN_DE_PORRES,2015-12-11,110000,-77.0845,-12.0089,56,41.55,31,26.2,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2015,12
519318,CARABAYLLO,2018-04-05,100000,-77.0336,-11.9022,179,29.3,14.9,NA,LIMA,LIMA,CARABAYLLO,150106,20240430,2018,4
1039,SAN_BORJA,2015-02-13,110000,-77.0077,-12.1086,128,NA,4.1,NA,LIMA,LIMA,SAN_BORJA,150130,20240430,2015,2
310720,VILLA_MARIA_DEL_TRIUNFO,2022-06-15,200000,-76.92,-12.1664,272,78.49,33.15,32.3,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2022,6
241923,SANTA_ANITA,2023-12-09,070000,-76.9714,-12.043,253,35.18,24.08,NA,LIMA,LIMA,SANTA_ANITA,150137,20240430,2023,12
69110,SAN_BORJA,2022-11-19,180000,-77.0077,-12.1086,128,62.94,23.66,19.1,LIMA,LIMA,SAN_BORJA,150130,20240430,2022,11
317340,VILLA_MARIA_DEL_TRIUNFO,2023-03-18,160000,-76.92,-12.1664,272,64.12,25.53,16,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2023,3
425019,SAN_MARTIN_DE_PORRES,2016-10-31,070000,-77.0845,-12.0089,56,22.95,8.3,14.7,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2016,10
565827,CARABAYLLO,2023-07-26,070000,-77.0336,-11.9022,179,15.15,14.36,10,LIMA,LIMA,CARABAYLLO,150106,20240430,2023,7
95536,CAMPO_DE_MARTE,2016-07-26,200000,-77.0432,-12.0705,117,39,8.1,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2016,7
241634,SANTA_ANITA,2023-11-27,060000,-76.9714,-12.043,253,25.08,18.46,8.2,LIMA,LIMA,SANTA_ANITA,150137,20240430,2023,11
111515,CAMPO_DE_MARTE,2018-05-23,150000,-77.0432,-12.0705,117,22.79,16.5,25.4,LIMA,LIMA,JESUS_MARIA,150113,20240430,2018,5
241264,SANTA_ANITA,2023-11-11,200000,-76.9714,-12.043,253,21.48,14.16,15.7,LIMA,LIMA,SANTA_ANITA,150137,20240430,2023,11
97074,CAMPO_DE_MARTE,2016-09-28,220000,-77.0432,-12.0705,117,40.09,14,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2016,9
198237,SANTA_ANITA,2018-12-15,010000,-76.9714,-12.043,253,61.6,13.4,14,LIMA,LIMA,SANTA_ANITA,150137,20240430,2018,12
13460,SAN_BORJA,2016-07-15,000000,-77.0077,-12.1086,128,69.03,25.6,30.2,LIMA,LIMA,SAN_BORJA,150130,20240430,2016,7
275277,VILLA_MARIA_DEL_TRIUNFO,2018-05-31,010000,-76.92,-12.1664,272,200,64.7,NA,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2018,5
472260,SAN_MARTIN_DE_PORRES,2022-03-22,160000,-77.0845,-12.0089,56,69.61,26.46,29.6,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2022,3
427500,SAN_MARTIN_DE_PORRES,2017-02-11,160000,-77.0845,-12.0089,56,59.84,18.4,21,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2017,2
